comparison,metric,mean_difference,CI95_low,CI95_high,Wilcoxon_p,rank_biserial,subjects_better,subjects_worse,Holm_adjusted_p
Proposed fusion vs Raw EEG,macro_f1,0.005116637650101111,-0.012634098909097549,0.023852908245458174,0.5076243443095237,0.23636363636363636,5,5,0.5076243443095237
Proposed fusion vs MDRG branch,macro_f1,0.013567474535165302,-0.014526413018928914,0.04031376665543623,0.1401460614684125,0.44761904761904764,11,3,0.4061279296875
Proposed fusion vs Graph comparator,macro_f1,0.030351475962546295,-0.011329194464740502,0.07101610126143029,0.1353759765625,0.45,11,4,0.4061279296875
