block,mean,lo,hi,n,label,dim
Graph,0.2141952108657756,0.19069277966574502,0.23740121053130944,15,Graph,72
Spectral_Dynamic_Graph,0.21977654682695225,0.18561852997819886,0.25530907690407517,15,Spectral + Dynamic + Graph,288
Dynamic,0.22966391733232489,0.20053965188417985,0.257203645207545,15,Dynamic,72
Spectral_Dynamic,0.26242775666906326,0.22667493232726102,0.2958843604698083,15,Spectral + Dynamic,216
Static_Spectral,0.2641570754606964,0.23065870273410252,0.296909413006142,15,Static spectral,144
Riemannian,0.2688341843526122,0.2399020801308491,0.3078391541849813,15,Riemannian,1368
Spectral_Dynamic_Riemannian,0.27064360994195424,0.24057900508847876,0.3063641555741635,15,Spectral + Dynamic + Riemannian,1584
Riemannian_Graph,0.27200880798011695,0.2385591509787611,0.31322414804482157,15,Riemannian + Graph,1440
Full_MDRG,0.2723933559219331,0.23416086094133,0.31450964713957713,15,Full MDRG,1656
