comparison,mean_difference,CI95_low,CI95_high,Wilcoxon_p,rank_biserial,Holm_adjusted_p
Full_MDRG vs Static_Spectral,0.008236280461236721,-0.040847198620516695,0.06274355953504426,0.93408203125,-0.03333333333333333,1.0
Full_MDRG vs Dynamic,0.04272943858960819,0.006037821575839022,0.08458939068533475,0.063720703125,0.55,0.38232421875
Full_MDRG vs Spectral_Dynamic,0.009965599252869868,-0.036649016192482564,0.06063482874515362,1.0,0.0,1.0
Full_MDRG vs Riemannian,0.0035591715693209847,-0.017283824157999016,0.025251545288989083,0.93408203125,-0.03333333333333333,1.0
Full_MDRG vs Graph,0.058198145056157474,0.010717610206316858,0.11295254863148249,0.04791259765625,0.5833333333333334,0.33538818359375
Full_MDRG vs Spectral_Dynamic_Riemannian,0.0017497459799788488,-0.01698419104718338,0.018434839711098293,0.5994873046875,0.16666666666666666,1.0
Full_MDRG vs Spectral_Dynamic_Graph,0.05261680909498083,0.014644918070959969,0.09322911273739444,0.01025390625,0.7333333333333333,0.08203125
Full_MDRG vs Riemannian_Graph,0.00038454794181605467,-0.014777405644090936,0.016745696558226816,1.0,0.0,1.0
