comparison,metric,mean_difference,CI95_low,CI95_high,W,Wilcoxon_p,rank_biserial,subjects_better,subjects_tied,subjects_worse,Holm_adjusted_p_family5
Proposed fusion vs Raw EEG,macro_f1,0.005116637650101104,-0.01263409890909755,0.02385290824545817,21.0,0.5076243443095237,0.23636363636363636,5,5,5,1.0
Proposed fusion vs MDRG branch,macro_f1,0.013567474535165297,-0.014526413018928902,0.04031376665543621,29.0,0.1401460614684125,0.44761904761904764,11,1,3,0.6768798828125
Proposed fusion vs Graph comparator,macro_f1,0.03035147596254629,-0.011329194464740528,0.07101610126143028,33.0,0.1353759765625,0.45,11,0,4,0.6768798828125
Proposed fusion vs REVE_LinearProbe,macro_f1,-0.00574749701285915,-0.03867397062592532,0.025116330732330872,58.0,0.93408203125,-0.03333333333333333,8,0,7,1.0
Proposed fusion vs REVE_LoRA,macro_f1,-0.010341935947373626,-0.05199321971150606,0.024604986001992655,56.0,0.846923828125,0.06666666666666667,9,0,6,1.0
Proposed fusion vs Raw EEG,accuracy,0.006666666666666665,-0.012000000000000004,0.02533333333333333,12.5,0.43494908493005624,0.3055555555555556,5,7,3,
Proposed fusion vs Raw EEG (VALIDATION split),macro_f1,0.028421071031987728,0.010628666030566343,0.0491656305437333,0.0,0.011718685599768628,1.0,8,7,0,
Fusion reduction vs Raw reduction (validation minus test),macro_f1,0.023304433381886626,-0.0008389690881334275,0.05258784830820392,11.0,0.09260069782067576,0.6,8,5,2,
