comparison,mean_difference,CI95_low,CI95_high,Wilcoxon_p,rank_biserial,Holm_adjusted_p
Full_MDRG vs Riemannian_Graph,0.000881161247544617,-0.00953706760889617,0.012464210061210157,0.93408203125,-0.03333333333333333,1.0
Full_MDRG vs Spectral_Dynamic_Riemannian,0.006114955979049935,-0.00938734035130682,0.02335864686085856,0.638671875,0.15,1.0
Full_MDRG vs Riemannian,-0.0007212794804995611,-0.01896807916673043,0.019002334545186034,0.846923828125,-0.06666666666666667,1.0
Full_MDRG vs Static_Spectral,0.0027638302298894635,-0.03515730374219853,0.0417669949273577,0.93408203125,0.03333333333333333,1.0
Full_MDRG vs Spectral_Dynamic,0.021936314513128878,-0.019549210937951055,0.06284079231408735,0.359130859375,0.2833333333333333,1.0
Full_MDRG vs Dynamic,0.06641725406515427,0.0369499872760107,0.09767145078267002,0.00115966796875,0.8833333333333333,0.00927734375
Full_MDRG vs Spectral_Dynamic_Graph,0.0198894554439788,-0.019453313243736923,0.06253928675894971,0.5614013671875,0.18333333333333332,1.0
Full_MDRG vs Graph,0.04706719010070121,-0.0041857440079965235,0.0997734871983498,0.1688232421875,0.4166666666666667,1.0
