method,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,precision_mean,sensitivity_mean,specificity_mean
Old_Fusion,0.30533333333333335,0.06435023217481332,0.296516559295858,0.06623355263689606,0.3208189240908539,0.30533333333333335,0.8263333333333333
REVE_LoRA,0.31333333333333335,0.06618876325292974,0.2839158354212328,0.08658592303890202,0.29534387626668324,0.31333333333333335,0.8283333333333334
REVE_LinearProbe,0.3106666666666667,0.05444088099773482,0.2793213964867183,0.07649594527636487,0.3022695502754326,0.3106666666666667,0.8276666666666667
MVGSF_Inspired_Graph,0.2693333333333333,0.07126075524505222,0.2635334968656735,0.06808988671402931,0.2728802787053561,0.2693333333333333,0.8173333333333334
Old_Raw,0.2693333333333333,0.06670475102662335,0.26214827415751163,0.06742671195883618,0.2942790615530554,0.2693333333333333,0.8173333333333334
