comparison,metric,n_subjects,method_A_mean,method_B_mean,mean_difference,CI95_low,CI95_high,Wilcoxon_W,Wilcoxon_p,rank_biserial,subjects_better,subjects_equal,subjects_worse,Holm_adjusted_p
Old_Fusion vs Old_Raw,macro_f1,15,0.296516559295858,0.2621482741575117,0.034368285138346395,-0.001014863925878404,0.06975124861471182,32.0,0.12054443359375,0.4666666666666667,11,0,4,0.482177734375
Old_Fusion vs Old_Raw,accuracy,15,0.30533333333333335,0.26933333333333337,0.036000000000000004,0.00133333333333334,0.07066666666666667,20.0,0.0737601450818441,0.5604395604395604,9,2,4,
REVE_LinearProbe vs Old_Fusion,macro_f1,15,0.2793213964867183,0.296516559295858,-0.017195162809139793,-0.05800668277358208,0.026662023193138214,42.0,0.33026123046875,-0.3,5,0,10,0.6605224609375
REVE_LoRA vs Old_Fusion,macro_f1,15,0.2839158354212328,0.296516559295858,-0.0126007238746253,-0.05816983100246952,0.036926136587950895,46.0,0.45428466796875,-0.23333333333333334,5,0,10,0.6605224609375
MVGSF_Inspired_Graph vs Old_Fusion,macro_f1,15,0.26353349686567346,0.296516559295858,-0.032983062430184555,-0.08063772836715435,0.015152059023933444,37.0,0.207763671875,-0.38333333333333336,4,0,11,0.623291015625
