method,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_precision_std,macro_sensitivity_mean,macro_sensitivity_std,macro_specificity_mean,macro_specificity_std
REVE_LoRA,0.31333333333333335,0.06618876325292973,0.2839158354212327,0.08658592303890202,0.29534387626668324,0.11320667256544602,0.3133333333333333,0.06618876325292972,0.8283333333333334,0.016547190813232436
REVE_LinearProbe,0.3106666666666666,0.054440880997734815,0.2793213964867182,0.07649594527636487,0.30226955027543256,0.11619389413342834,0.31066666666666654,0.054440880997734836,0.8276666666666667,0.013610220249433678
Proposed fusion,0.29066666666666663,0.06922702472575976,0.2735738994738591,0.07177749609720264,0.2818279866702714,0.0815244639415688,0.29066666666666663,0.06922702472575974,0.8226666666666667,0.017306756181439956
Raw EEG,0.284,0.04672105673951674,0.268457261823758,0.052456956360746224,0.28134342656806427,0.06274043385786783,0.284,0.04672105673951674,0.8210000000000001,0.011680264184879144
MDRG branch,0.2773333333333333,0.06363586889108853,0.2600064249386938,0.061216735645877984,0.2602452456957101,0.0681131160719384,0.27733333333333327,0.06363586889108853,0.8193333333333332,0.015908967222772148
Graph comparator,0.25466666666666676,0.07110019757523953,0.24322242351131282,0.06415452270367376,0.24909458263328235,0.06258084628856576,0.25466666666666676,0.07110019757523953,0.8136666666666666,0.017775049393809885
