block,dimensions,macro_f1_mean,ci_low,ci_high,accuracy_mean
Riemannian,1368,0.2774919247287265,0.2495473287332295,0.31396095137872904,0.28400000000000003
Full_MDRG,1656,0.2767706452482269,0.24893606121466863,0.30971796093788234,0.2853333333333333
Riemannian_Graph,1440,0.27588948400068225,0.24982413538993448,0.30648973654880435,0.28533333333333327
Static_Spectral,144,0.2740068150183374,0.2380820601533692,0.30621559111008095,0.28266666666666673
Spectral_Dynamic_Riemannian,1584,0.2706556892691769,0.2495268249148886,0.29264106505918863,0.27733333333333327
Spectral_Dynamic_Graph,288,0.2568811898042481,0.21602625121357652,0.2992874119212475,0.26400000000000007
Spectral_Dynamic,216,0.25483433073509804,0.21208209074165196,0.2955392186828342,0.26266666666666666
Graph,72,0.22970345514752566,0.18613701291838186,0.27823804179102135,0.23066666666666671
Dynamic,72,0.21035339118307264,0.18262943337501011,0.23775125521762608,0.21200000000000005
